2-Christopher Street Sheridan Square,2-Houston Street,1142.63043
2-Church Avenue,2-Beverly Road,1142.63043
2-Clark Street,2-Borough Hall,1142.63043
2-Crown Heights Utica Avenue,2-Sutter Avenue Rutland Road,1142.63043
2-East 180th Street,2-West Farms Square East Tremont Avenue,1142.63043
2-Eastern Parkway Brooklyn Museum,2-Franklin Avenue,1142.63043
2-Flatbush Avenue Brooklyn College,2-Nostrand Avenue,1142.63043
2-Franklin Avenue,2-President Street,1142.63043
2-Franklin Avenue,3-Franklin Avenue,120000
2-Franklin Avenue,4-Franklin Avenue,120000
2-Franklin Avenue,5-Franklin Avenue,120000
2-Franklin Street,2-Chambers Street,1142.63043
2-Freeman Street,2-Simpson Street,1142.63043
2-Fulton Street,2-Wall Street,1142.63043
2-Fulton Street,3-Fulton Street,120000
2-Fulton Street,4-Fulton Street,120000
2-Fulton Street,5-Fulton Street,120000
2-Fulton Street,A-Fulton Street,120000
2-Fulton Street,C-Fulton Street,120000
2-Fulton Street,Z-Fulton Street,120000
2-Grand Army Plaza,2-Eastern Parkway Brooklyn Museum,1142.63043
2-Gun Hill Road,2-Burke Avenue,1142.63043
2-Houston Street,2-Canal Street,1142.63043
2-Hoyt Street,2-Nevins Street,1142.63043
2-Intervale Avenue,2-Prospect Avenue,1142.63043
2-Jackson Avenue,2-Third Avenue 149th Street,1142.63043
2-Junius Street,2-Pennsylvania Avenue,1142.63043
2-Kingston Avenue,2-Crown Heights Utica Avenue,1142.63043
2-Nereid Avenue,2-233rd Street,1142.63043
2-Nevins Street,2-Atlantic Avenue Barclays Center,1142.63043
2-Newkirk Avenue,2-Flatbush Avenue Brooklyn College,1142.63043
2-Nostrand Avenue,2-Kingston Avenue,1142.63043
2-Park Place,2-Fulton Street,1142.63043
2-Park Place,3-Park Place,120000
2-Park Place,A-Chambers Street,120000
2-Park Place,C-Chambers Street,120000
2-Park Place,E-World Trade Center,120000
2-Pelham Parkway,2-Bronx Park East,1142.63043
2-Pennsylvania Avenue,2-Van Siclen Avenue,1142.63043
2-President Street,2-Sterling Street,1142.63043
2-Prospect Avenue,2-Jackson Avenue,1142.63043
2-Rockaway Avenue,2-Junius Street,1142.63043
2-Saratoga Avenue,2-Rockaway Avenue,1142.63043
2-Simpson Street,2-Intervale Avenue,1142.63043
2-Sterling Street,2-Winthrop Street,1142.63043
2-Sutter Avenue Rutland Road,2-Saratoga Avenue,1142.63043
2-Third Avenue 149th Street,2-149th Street–Grand Concourse,1142.63043
2-Times Square 42nd Street,1-Times Square 42nd Street,120000
2-Times Square 42nd Street,2-34th Street Penn Station,1142.63043
2-Times Square 42nd Street,3-Times Square 42nd Street,120000
2-Times Square 42nd Street,7-Times Square,120000
2-Times Square 42nd Street,A-42nd Street Port Authority Bus Terminal,120000
2-Times Square 42nd Street,C-42nd Street Port Authority Bus Terminal,120000
2-Times Square 42nd Street,E-42nd Street Port Authority Bus Terminal,120000
2-Times Square 42nd Street,N-Times Square 42nd Street,120000
2-Times Square 42nd Street,Q-Times Square 42nd Street,120000
2-Times Square 42nd Street,R-Times Square 42nd Street,120000
2-Times Square 42nd Street,W-Times Square 42nd Street,120000
2-Van Siclen Avenue,2-New Lots Avenue,1142.63043
2-Wakefield–241st Street,2-Nereid Avenue,1142.63043
2-Wall Street,2-Clark Street,1142.63043
2-West Farms Square–East Tremont Avenue,2-174th Street,1142.63043
2-Winthrop Street,2-Church Avenue,1142.63043
3-116th Street,3-Central Park North 110th Street,3321.799308
3-125th Street,3-116th Street,3321.799308
3-135th Street,3-125th Street,3321.799308
3-145th Street,3-135th Street,3321.799308
3-14th Street,1-14th Street,120000
3-14th Street,2-14th Street,120000
3-14th Street,3-Chambers Street,3321.799308
3-14th Street,F-14th Street,120000
3-14th Street,L-Sixth Avenue,120000
3-14th Street,M-14th Street,120000
3-34th Street Penn Station,3-14th Street,3321.799308
3-72nd Street,3-Times Square 42nd Street,3321.799308
3-96th Street,3-72nd Street,3321.799308
3-Atlantic Avenue Barclays Center,2-Atlantic Avenue Barclays Center,120000
3-Atlantic Avenue Barclays Center,3-Bergen Street,3321.799308
3-Atlantic Avenue Barclays Center,4-Atlantic Avenue Barclays Center,120000
3-Atlantic Avenue Barclays Center,5-Atlantic Avenue Barclays Center,120000
3-Atlantic Avenue Barclays Center,D-Atlantic Avenue Barclays Center,120000
3-Atlantic Avenue Barclays Center,L-Broadway Junction,120000
3-Atlantic Avenue Barclays Center,N-Atlantic Avenue Barclays Center,120000
3-Atlantic Avenue Barclays Center,R-Atlantic Avenue Barclays Center,120000
3-Bergen Street,3-Grand Army Plaza,3321.799308
3-Borough Hall,2-Borough Hall,120000
3-Borough Hall,3-Hoyt Street,3321.799308
3-Borough Hall,4-Borough Hall,120000
3-Borough Hall,5-Borough Hall,120000
3-Borough Hall,N-Court Street,120000
3-Borough Hall,R-Court Street,120000
3-Central Park North 110th Street,3-96th Street,3321.799308
3-Chambers Street,3-Park Place,3321.799308
3-Clark Street,3-Borough Hall,3321.799308
3-Crown Heights Utica Avenue,3-Sutter Avenue Rutland Road,3321.799308
3-Eastern Parkway Brooklyn Museum,3-Franklin Avenue,3321.799308
3-Franklin Avenue,2-Franklin Avenue,120000
3-Franklin Avenue,3-Nostrand Avenue,3321.799308
3-Franklin Avenue,4-Franklin Avenue,120000
3-Franklin Avenue,5-Franklin Avenue,120000
3-Fulton Street,2-Fulton Street,120000
3-Fulton Street,3-Wall Street,3321.799308
3-Fulton Street,4-Fulton Street,120000
3-Fulton Street,5-Fulton Street,120000
3-Fulton Street,A-Fulton Street,120000
3-Fulton Street,C-Fulton Street,120000
3-Fulton Street,Z-Fulton Street,120000
3-Grand Army Plaza,3-Eastern Parkway Brooklyn Museum,3321.799308
3-Harlem 148th Street,3-145th Street,3321.799308
3-Hoyt Street,3-Nevins Street,3321.799308
3-Junius Street,3-Pennsylvania Avenue,3321.799308
3-Kingston Avenue,3-Crown Heights Utica Avenue,3321.799308
3-Nevins Street,3-Atlantic Avenue Barclays Center,3321.799308
3-Nostrand Avenue,3-Kingston Avenue,3321.799308
3-Park Place,2-Park Place,120000
3-Park Place,3-Fulton Street,3321.799308
3-Park Place,A-Chambers Street,120000
3-Park Place,C-Chambers Street,120000
3-Park Place,E-World Trade Center,120000
3-Pennsylvania Avenue,3-Van Siclen Avenue,3321.799308
3-Rockaway Avenue,3-Junius Street,3321.799308
3-Saratoga Avenue,3-Rockaway Avenue,3321.799308
3-Sutter Avenue Rutland Road,3-Saratoga Avenue,3321.799308
3-Times Square 42nd Street,1-Times Square 42nd Street,120000
3-Times Square 42nd Street,2-Times Square 42nd Street,120000
3-Times Square 42nd Street,3-34th Street Penn Station,3321.799308
3-Times Square 42nd Street,7-Times Square,120000
3-Times Square 42nd Street,A-42nd Street Port Authority Bus Terminal,120000
3-Times Square 42nd Street,C-42nd Street Port Authority Bus Terminal,120000
3-Times Square 42nd Street,E-42nd Street Port Authority Bus Terminal,120000
3-Times Square 42nd Street,N-Times Square 42nd Street,120000
3-Times Square 42nd Street,Q-Times Square 42nd Street,120000
3-Times Square 42nd Street,R-Times Square 42nd Street,120000
3-Times Square 42nd Street,W-Times Square 42nd Street,120000
3-Van Siclen Avenue,3-New Lots Avenue,3321.799308
3-Wall Street,3-Clark Street,3321.799308
4-103rd Street,4-96th Street,1928.474423
4-110th Street,4-103rd Street,1928.474423
4-116th Street,4-110th Street,1928.474423
4-125th Street,4-116th Street,1928.474423
4-138th Street Grand Concourse,4-125th Street,1928.474423
4-149th Street Grand Concourse,4-138th Street Grand Concourse,1928.474423
4-14th Street Union Square,4-Astor Place,1928.474423
4-14th Street Union Square,5-14th Street Union Square,120000
